Confidence	Reliability	NBC	Degree	Strategy	Typed	Precision	Recall	MirP	MirR
0.900000	0.300000	0	3	75	n	0.26082014	0.04758847	0.72240776	0.14245562
0.900000	0.300000	0	2	all	n	0.27941611	0.04303095	0.76413658	0.12753904
0.900000	0.300000	0	5	75	n	0.27829498	0.05508416	0.67478924	0.15918201
0.900000	0.300000	0	4	one	t	0.35881485	0.05084476	0.80737058	0.14990484
0.900000	0.300000	0	2	75	t	0.33715024	0.04266385	0.85140896	0.12738087
0.900000	0.300000	0	3	one	n	0.23606816	0.04416390	0.63193770	0.12644227
0.900000	0.300000	0	4	75	n	0.27691404	0.05240759	0.68434087	0.15189614
0.900000	0.300000	0	4	50	t	0.35026814	0.05278213	0.79576853	0.15203615
0.900000	0.300000	0	4	50	n	0.28261286	0.05278213	0.68347068	0.15203615
0.900000	0.300000	0	2	50	t	0.34348586	0.04303095	0.85015296	0.12753904
0.900000	0.300000	0	4	one	n	0.23533439	0.05018819	0.58337974	0.13038078
0.900000	0.300000	0	2	one	n	0.24787474	0.04041048	0.74469412	0.12382091
0.900000	0.300000	0	5	50	t	0.35012907	0.05545690	0.78105734	0.15931684
0.900000	0.300000	0	3	50	n	0.26608226	0.04796263	0.72140824	0.14260082
0.900000	0.300000	0	3	all	t	0.33218465	0.04796263	0.82779693	0.14260082
0.900000	0.300000	0	5	one	n	0.22476222	0.05272977	0.55370792	0.13166424
0.900000	0.300000	0	1	1	t	0.34638589	0.02765129	0.89840775	0.11498971
0.900000	0.300000	0	2	50	n	0.27941611	0.04303095	0.76413658	0.12753904
0.900000	0.300000	0	2	75	n	0.27396940	0.04266385	0.76525748	0.12738087
0.900000	0.300000	0	5	one	t	0.35867845	0.05354924	0.79143499	0.15721664
0.900000	0.300000	0	3	75	t	0.32604964	0.04758847	0.82900038	0.14245562
0.900000	0.300000	0	2	one	t	0.34776598	0.04275973	0.85228200	0.12729272
0.900000	0.300000	0	4	all	t	0.35026814	0.05278213	0.79576853	0.15203615
0.900000	0.300000	0	5	75	t	0.34399911	0.05508416	0.78198678	0.15918201
0.900000	0.300000	0	3	all	n	0.26608226	0.04796263	0.72140824	0.14260082
0.900000	0.300000	0	2	all	t	0.34348586	0.04303095	0.85015296	0.12753904
0.900000	0.300000	0	5	all	t	0.35012907	0.05545690	0.78105734	0.15931684
0.900000	0.300000	0	5	50	n	0.28399213	0.05545690	0.67399770	0.15931684
0.900000	0.300000	0	4	75	t	0.34413570	0.05240759	0.79679828	0.15189614
Confidence	Reliability	NBC	Degree	Strategy	Typed	Precision	Recall	MirP	MirR
0.000000	0.500000	0	1	1	n	0.34906786	0.08918978	0.80144518	0.36378793
0.000000	0.500000	0	4	all	n	0.34254231	0.12312967	0.75124625	0.40832767
0.000000	0.500000	0	5	all	n	0.33992084	0.12638752	0.74578982	0.41589098
0.000000	0.500000	0	3	one	t	0.38605206	0.11598657	0.86253950	0.39564352
0.000000	0.500000	0	3	50	t	0.38362111	0.11715129	0.86178215	0.39597540
0.000000	0.500000	0	3	75	n	0.33460554	0.11667789	0.75714243	0.39579390
0.000000	0.500000	0	2	all	n	0.34370123	0.10210510	0.77763584	0.38197667
0.000000	0.500000	0	5	75	n	0.34201407	0.12590510	0.74607717	0.41570689
0.000000	0.500000	0	4	one	t	0.39496940	0.12180803	0.85997879	0.40784540
0.000000	0.500000	0	2	75	t	0.38925563	0.10193658	0.88306877	0.38195075
0.000000	0.500000	0	3	one	n	0.27607488	0.11247710	0.66661229	0.38145292
0.000000	0.500000	0	4	75	n	0.34364590	0.12264725	0.75152418	0.40814358
0.000000	0.500000	0	4	50	t	0.39105627	0.12312967	0.85915908	0.40832767
0.000000	0.500000	0	4	50	n	0.34254231	0.12312967	0.75124625	0.40832767
0.000000	0.500000	0	2	50	t	0.38888246	0.10210510	0.88294876	0.38197667
0.000000	0.500000	0	4	one	n	0.27357383	0.11625794	0.63283022	0.38331976
0.000000	0.500000	0	2	one	n	0.29427059	0.10584468	0.75354604	0.37839078
0.000000	0.500000	0	5	50	t	0.38826825	0.12638752	0.85197244	0.41589098
0.000000	0.500000	0	3	50	n	0.33436414	0.11715129	0.75687396	0.39597540
0.000000	0.500000	0	3	all	t	0.38362111	0.11715129	0.86178215	0.39597540
0.000000	0.500000	0	5	one	n	0.27599189	0.12044482	0.61769160	0.38497659
0.000000	0.500000	0	1	1	t	0.39236657	0.08918978	0.90082310	0.36378793
0.000000	0.500000	0	2	50	n	0.34370123	0.10210510	0.77763584	0.38197667
0.000000	0.500000	0	2	75	n	0.34399648	0.10193658	0.77773085	0.38195075
0.000000	0.500000	0	5	one	t	0.39270220	0.12507294	0.85279793	0.41541389
0.000000	0.500000	0	3	75	t	0.38394827	0.11667789	0.86216070	0.39579390
0.000000	0.500000	0	2	one	t	0.39097660	0.10135697	0.88338262	0.38181851
0.000000	0.500000	0	4	all	t	0.39105627	0.12312967	0.85915908	0.40832767
0.000000	0.500000	0	5	75	t	0.39084091	0.12590510	0.85236498	0.41570689
0.000000	0.500000	0	3	all	n	0.33436414	0.11715129	0.75687396	0.39597540
0.000000	0.500000	0	2	all	t	0.38888246	0.10210510	0.88294876	0.38197667
0.000000	0.500000	0	5	all	t	0.38826825	0.12638752	0.85197244	0.41589098
0.000000	0.500000	0	5	50	n	0.33992084	0.12638752	0.74578982	0.41589098
0.000000	0.500000	0	4	75	t	0.39332838	0.12264725	0.85955016	0.40814358
Confidence	Reliability	NBC	Degree	Strategy	Typed	Precision	Recall	MirP	MirR
